site_id,image_file,n_defects,n_corrosion,n_crack,max_confidence,defects_json
SITE0011,corrosion-and-cracks-kuvur_corrosion-51-_jpeg.rf.3e02cb2ab9ce06cd184dd6b8cb3d393b.jpg,0,0,0,0.0,[]
SITE0012,pipe-defects-ybzjr_Frozen_Pipes249-DFs_jpg.rf.62f22cad8f4b21f7a1426693f2bca401.jpg,7,7,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7695, 0.1927, 0.1578, 0.0521]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2617, 0.8146, 0.0297, 0.0604]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2492, 0.8844, 0.0367, 0.0604]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2352, 0.7417, 0.0352, 0.0583]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2023, 0.3958, 0.05, 0.0365]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1742, 0.5656, 0.1656, 0.2458]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1227, 0.7229, 0.0391, 0.0625]}]"
SITE0013,corrosion-and-cracks-kuvur_corrosion-38-_jpeg.rf.2cffcfd5f235e21515cc57cf68a44bd0.jpg,0,0,0,0.0,[]
SITE0014,corrosion_detection-unzub_Galvanic-Corrosion-Corrosion-with-an-Electric-Edge_jpg.rf.1695fb3533da6f331ab1db73c4ddc431.jpg,10,10,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8305, 0.3221, 0.0264, 0.0427]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1947, 0.3474, 0.015, 0.1749]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.774, 0.3918, 0.0276, 0.0349]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8257, 0.3954, 0.0216, 0.0385]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7704, 0.4688, 0.021, 0.0421]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8209, 0.4736, 0.0264, 0.0439]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3474, 0.7704, 0.1569, 0.1653]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4796, 0.7849, 0.0721, 0.101]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5505, 0.9195, 0.1154, 0.146]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3486, 0.9243, 0.1538, 0.0793]}]"
SITE0015,corrosion-and-cracks-kuvur_corrosion-27-_jpeg.rf.3734556db6feaf2c6ab8a76cf748a6c7.jpg,0,0,0,0.0,[]
SITE0016,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.403b9b04082d1dd3ee477b5049e7e10d.jpg,12,8,4,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5385, 0.232, 0.1629, 0.024]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.6983, 0.3185, 0.0126, 0.1106]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.7536, 0.4123, 0.0114, 0.351]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.4748, 0.4363, 0.0192, 0.2572]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8942, 0.4868, 0.0956, 0.0463]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7188, 0.6226, 0.0481, 0.0715]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.4832, 0.6599, 0.0294, 0.1472]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9267, 0.6671, 0.1172, 0.0505]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5529, 0.7584, 0.0577, 0.0799]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7392, 0.7945, 0.1184, 0.2115]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5457, 0.905, 0.1058, 0.1857]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7392, 0.1827, 0.1472, 0.0391]}]"
SITE0017,corrosion-and-cracks-kuvur_corrosion-22-_jpeg.rf.7eee751634b146655f68c2677bdf77f0.jpg,0,0,0,0.0,[]
SITE0018,corrosion-and-cracks-kuvur_corrosion-2-_jpeg.rf.ce2388ae2207f0d498e2e8e5290d490a.jpg,0,0,0,0.0,[]
SITE0019,corrosion-and-cracks-kuvur_corrosion-62-_jpeg.rf.3fb47b88414544da64b1b72d8b5cdfd9.jpg,0,0,0,0.0,[]
SITE0020,corrosion-and-cracks-kuvur_corrosion-21-_jpeg.rf.3ab17e169ab9b8cf8b0503752d79d2f7.jpg,0,0,0,0.0,[]
SITE0021,corrosion-and-cracks-kuvur_corrosion-11-_jpeg.rf.9bc91483e19ae99f4e6c7fb54fe0fda4.jpg,0,0,0,0.0,[]
SITE0022,corrosion-and-cracks-kuvur_corrosion-12-_jpeg.rf.e0a1fc1faa4ee4816c9a0b79e2b8a82a.jpg,0,0,0,0.0,[]
SITE0023,corrosion-and-cracks-kuvur_corrosion-18-_jpeg.rf.bec8fef768832c05c5d93a422733e544.jpg,0,0,0,0.0,[]
SITE0024,pipe-defects-ybzjr_featured-image-burst-pipe-jpeg_jpg.rf.790094dc13e231a1a5c338f9a1f653c4.jpg,4,3,1,0.85,"[{""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.3612, 0.1961, 0.2144, 0.1252]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.903, 0.0773, 0.0426, 0.04]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9145, 0.1221, 0.0645, 0.0845]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7447, 0.2168, 0.0674, 0.0945]}]"
SITE0025,corrosion-and-cracks-kuvur_corrosion-53-_jpeg.rf.d41f222452dcc0450de68e49529f2e00.jpg,10,10,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4789, 0.2336, 0.0789, 0.0719]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3258, 0.5281, 0.0688, 0.1203]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9047, 0.7328, 0.0938, 0.1086]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3234, 0.8234, 0.0883, 0.1297]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5422, 0.6555, 0.0891, 0.1078]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7258, 0.5141, 0.0773, 0.1008]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9023, 0.2773, 0.0797, 0.1117]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4258, 0.3695, 0.0633, 0.0969]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1414, 0.6344, 0.0656, 0.0969]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3906, 0.6984, 0.0781, 0.082]}]"
SITE0026,corrosion-and-cracks-kuvur_corrosion-47-_jpeg.rf.dccd9d4ade5a2e44a165fe17404f37ef.jpg,0,0,0,0.0,[]
SITE0027,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.19ff49a938369c223d6f990ea3c955fc.jpg,0,0,0,0.0,[]
SITE0028,corrosion_detection-unzub_corrosion-metal-rusty-bollard-abandoned-pier-221587764_jpg.rf.d65330b681e22388b70a1ba38d5270b9.jpg,12,8,4,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4615, 0.232, 0.1629, 0.024]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.3017, 0.3185, 0.0126, 0.1106]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.2464, 0.4123, 0.0114, 0.351]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.5252, 0.4363, 0.0192, 0.2572]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1058, 0.4868, 0.0956, 0.0463]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2812, 0.6226, 0.0481, 0.0715]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.5168, 0.6599, 0.0294, 0.1472]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.0733, 0.6671, 0.1172, 0.0505]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4471, 0.7584, 0.0577, 0.0799]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2608, 0.7945, 0.1184, 0.2115]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4543, 0.905, 0.1058, 0.1857]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2608, 0.1827, 0.1472, 0.0391]}]"
SITE0029,corrosion_detection-unzub_Adjacent-picture-shows-a-classic-example-of-galvanic-corrosion--a-stainless-steel-screw-in-contact-with-a-cadmium-plated-steel-washer-_jpg.rf.6bad5d4e36c706e890f2232621e704f3.jpg,9,7,2,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4207, 0.4026, 0.1244, 0.2019]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5998, 0.4038, 0.1755, 0.2157]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.0649, 0.4531, 0.119, 0.7001]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5276, 0.5445, 0.351, 0.0337]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3281, 0.6346, 0.0216, 0.2362]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4435, 0.6671, 0.1761, 0.1845]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.6226, 0.6719, 0.1593, 0.1893]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.351, 0.9471, 0.0974, 0.0529]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.4555, 0.9724, 0.0889, 0.0451]}]"
SITE0030,corrosion_detection-unzub_Bolts-in-non-salt-water-environments-and-not-in-constant-contact-with-water--such-as-this-one--are-more-than-likely-just-rusty-and-safe-for-climbing-_jpg.rf.2302c4f0d4e3e6b3a6b12b6fa3ada02d.jpg,8,6,2,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.482, 0.2079, 0.5625, 0.1274]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.0913, 0.2656, 0.0877, 0.3846]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5337, 0.4171, 0.2019, 0.1364]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8498, 0.5781, 0.1707, 0.6328]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.0625, 0.6635, 0.0974, 0.0974]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1851, 0.768, 0.0865, 0.1508]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5024, 0.7825, 0.4129, 0.1298]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.1623, 0.9327, 0.0787, 0.0685]}]"
SITE0031,pipe-defects-ybzjr_fig-6-pinhole-leaks-in-copper-tubing_jpg.rf.ac0e1e11dc0bfd03fae9219b99de513b.jpg,7,4,3,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1944, 0.3971, 0.0204, 0.076]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1732, 0.3689, 0.018, 0.0588]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1757, 0.3088, 0.0253, 0.0931]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.1748, 0.6642, 0.0817, 0.2696]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.248, 0.8445, 0.0769, 0.2954]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.1029, 0.7635, 0.1373, 0.4681]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5735, 0.8064, 0.1234, 0.0723]}]"
SITE0032,corrosion-and-cracks-kuvur_corrosion-50-_jpeg.rf.fee0deda5d090eef52b18b4d28616abe.jpg,0,0,0,0.0,[]
SITE0033,pipe-defects-ybzjr_istockphoto-481604650-612x612_jpg.rf.1a8ae511e90cbebe20d2ded1da24143b.jpg,3,0,3,0.85,"[{""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.5772, 0.3106, 0.3646, 0.2239]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.8286, 0.2005, 0.3195, 0.2095]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.7102, 0.3723, 0.576, 0.3304]}]"
SITE0034,corrosion-and-cracks-kuvur_corrosion-12-_jpeg.rf.3f1e007b1db89b59a58709a0d9d79737.jpg,0,0,0,0.0,[]
SITE0035,pipe-defects-ybzjr_featured-image-burst-pipe-jpeg_jpg.rf.1e9803389c43cb187eb5b7a7270f3a9a.jpg,2,0,2,0.85,"[{""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.1578, 0.2446, 0.0644, 0.3669]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.7906, 0.2426, 0.4161, 0.071]}]"
SITE0036,corrosion_detection-unzub_Galvanic-Corrosion-Corrosion-with-an-Electric-Edge_jpg.rf.52ba92b062b9aca543caa31e952a7d65.jpg,10,10,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8305, 0.3221, 0.0264, 0.0427]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1947, 0.3474, 0.015, 0.1749]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.774, 0.3918, 0.0276, 0.0349]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8257, 0.3954, 0.0216, 0.0385]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7704, 0.4688, 0.021, 0.0421]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8209, 0.4736, 0.0264, 0.0439]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3474, 0.7704, 0.1569, 0.1653]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.4796, 0.7849, 0.0721, 0.101]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5505, 0.9195, 0.1154, 0.146]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3486, 0.9243, 0.1538, 0.0793]}]"
SITE0037,corrosion-and-cracks-kuvur_corrosion-2-_jpeg.rf.ce2388ae2207f0d498e2e8e5290d490a.jpg,0,0,0,0.0,[]
SITE0038,pipe-defects-ybzjr_istockphoto-1325877872-612x612_jpg.rf.05faa1d77d40b5279b5e96dbd2cfa312.jpg,1,1,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.6364, 0.7708, 0.1062, 0.1924]}]"
SITE0039,corrosion-and-cracks-kuvur_corrosion-38-_jpeg.rf.2cffcfd5f235e21515cc57cf68a44bd0.jpg,0,0,0,0.0,[]
SITE0040,corrosion-and-cracks-kuvur_corrosion-24-_jpeg.rf.819c2553d60169fa3c56c6004395683c.jpg,0,0,0,0.0,[]
SITE0041,corrosion-and-cracks-kuvur_corrosion-51-_jpeg.rf.3e02cb2ab9ce06cd184dd6b8cb3d393b.jpg,0,0,0,0.0,[]
SITE0042,pipe-defects-ybzjr_p09h0084-photo-01_jpg.rf.3073e4813f4ac43b7acaa4a0665d68d9.jpg,2,1,1,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.765, 0.2663, 0.065, 0.2327]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.425, 0.8452, 0.1167, 0.3057]}]"
SITE0043,pipe-defects-ybzjr_a4b8bfb5a418bf33304750f0c42f01a0_jpg.rf.9811b762f9bb5a0996176973ff72b5c4.jpg,14,13,1,0.85,"[{""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.3203, 0.4691, 0.1168, 0.135]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9172, 0.3294, 0.0107, 0.0495]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.877, 0.7614, 0.0212, 0.0514]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8809, 0.8193, 0.031, 0.0641]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.895, 0.8893, 0.03, 0.0749]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8984, 0.7786, 0.01, 0.0166]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9004, 0.8128, 0.01, 0.0186]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9082, 0.971, 0.0305, 0.0537]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8521, 0.7448, 0.01, 0.01]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8521, 0.7568, 0.01, 0.01]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8562, 0.7607, 0.01, 0.0156]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.856, 0.7295, 0.01, 0.0234]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.866, 0.7191, 0.0168, 0.0189]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8677, 0.7354, 0.0107, 0.0234]}]"
SITE0044,corrosion_detection-unzub_Bolts-in-non-salt-water-environments-and-not-in-constant-contact-with-water--such-as-this-one--are-more-than-likely-just-rusty-and-safe-for-climbing-_jpg.rf.2302c4f0d4e3e6b3a6b12b6fa3ada02d.jpg,8,6,2,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.482, 0.2079, 0.5625, 0.1274]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.0913, 0.2656, 0.0877, 0.3846]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5337, 0.4171, 0.2019, 0.1364]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8498, 0.5781, 0.1707, 0.6328]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.0625, 0.6635, 0.0974, 0.0974]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.1851, 0.768, 0.0865, 0.1508]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5024, 0.7825, 0.4129, 0.1298]}, {""class"": ""crack"", ""confidence"": 0.85, ""bbox"": [0.1623, 0.9327, 0.0787, 0.0685]}]"
SITE0045,corrosion-and-cracks-kuvur_corrosion-62-_jpeg.rf.79a4f977b4fdc01b014033dabce6d279.jpg,0,0,0,0.0,[]
SITE0046,corrosion_detection-unzub_blog-31-4-statistics-on-galvanic-corrosion_jpg.rf.0d44539a26c12098d7eac3ecf1fdd135.jpg,12,12,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3413, 0.1719, 0.1256, 0.146]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5841, 0.1731, 0.1106, 0.134]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.869, 0.2404, 0.146, 0.0781]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5024, 0.3582, 0.0385, 0.1821]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.405, 0.3906, 0.0986, 0.1562]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.6995, 0.4062, 0.119, 0.1965]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9075, 0.5481, 0.1034, 0.4219]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7175, 0.0697, 0.1412, 0.0919]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.744, 0.7296, 0.1076, 0.2194]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.2115, 0.0998, 0.0919, 0.1082]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.47, 0.1046, 0.0258, 0.1172]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8954, 0.143, 0.0625, 0.0793]}]"
SITE0047,corrosion-and-cracks-kuvur_corrosion-16-_jpeg.rf.b89aa6c01264061f4a363caf13dbc6fe.jpg,0,0,0,0.0,[]
SITE0048,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.bb748a84146d3ea76e2d86079560daa7.jpg,0,0,0,0.0,[]
SITE0049,corrosion-and-cracks-kuvur_corrosion-44-_jpeg.rf.e5f8fc2a4b8bc959fc758adb322a53df.jpg,0,0,0,0.0,[]
SITE0050,corrosion_detection-unzub_Galvanic-corrosion-on-mask2_jpg.rf.c8331f260e48684332e3278721660a5d.jpg,0,0,0,0.0,[]
SITE0051,corrosion_detection-unzub_corrosion-metal-rusty-pipe-corrosion-metal-rusty-pipe-abandoned-pier-237028044_jpg.rf.233614e4401886136209a420389fbfa4.jpg,7,7,0,0.85,"[{""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.9591, 0.3498, 0.0673, 0.1665]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.6995, 0.387, 0.0859, 0.0475]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.8245, 0.5276, 0.0956, 0.0655]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.7332, 0.5601, 0.0252, 0.0769]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.5565, 0.637, 0.0817, 0.0829]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3966, 0.6755, 0.0715, 0.1478]}, {""class"": ""corrosion"", ""confidence"": 0.85, ""bbox"": [0.3029, 0.7332, 0.0769, 0.0829]}]"
SITE0052,corrosion-and-cracks-kuvur_corrosion-73-_jpeg.rf.3675195e059111af178e8d4e70e4250d.jpg,0,0,0,0.0,[]
SITE0053,corrosion-and-cracks-kuvur_corrosion-19-_jpeg.rf.f50af082956be3007f97190bc97e4709.jpg,0,0,0,0.0,[]
