site_id,date,risk_proba,risk_pred
SITE0138,2026-06-29,6.22955305676975e-06,0
SITE0137,2026-06-29,8.73296359525592e-06,0
SITE0136,2026-06-29,1.1068540709329461e-05,0
SITE0135,2026-06-29,1.3218935648814436e-05,0
SITE0134,2026-06-29,1.1592213582299245e-05,0
SITE0133,2026-06-29,1.4422603962373308e-05,0
SITE0132,2026-06-29,5.287973589576887e-06,0
SITE0113,2026-06-29,5.994458565060912e-06,0
SITE0112,2026-06-29,9.763332483155953e-06,0
SITE0111,2026-06-29,1.5266238438169375e-05,0
SITE0110,2026-06-29,9.698517230017288e-06,0
SITE0090,2026-06-29,8.209484563656282e-06,0
SITE0089,2026-06-29,7.730234245677904e-06,0
SITE0088,2026-06-29,6.399411735591959e-06,0
SITE0087,2026-06-29,6.317376743484164e-06,0
SITE0086,2026-06-29,1.0266392479579105e-05,0
SITE0085,2026-06-29,7.911112263058454e-06,0
SITE0084,2026-06-29,1.7120731501038798e-05,0
SITE0083,2026-06-29,7.796829656805416e-06,0
SITE0082,2026-06-29,1.0700536448033277e-05,0
SITE0081,2026-06-29,1.149202350686759e-05,0
SITE0080,2026-06-29,9.942619789445116e-06,0
SITE0079,2026-06-29,9.24512415870994e-06,0
SITE0078,2026-06-29,1.0183648697750644e-05,0
SITE0077,2026-06-29,9.126132806809141e-06,0
SITE0076,2026-06-29,1.5110834646851522e-05,0
SITE0091,2026-06-29,1.0738403831424553e-05,0
SITE0148,2026-06-29,7.585187417182927e-06,0
SITE0092,2026-06-29,9.747934098700938e-06,0
SITE0094,2026-06-29,1.7250471193397376e-05,0
SITE0109,2026-06-29,1.1742741568870582e-05,0
SITE0108,2026-06-29,1.9787848762419877e-05,0
SITE0107,2026-06-29,1.0158153617928135e-05,0
SITE0106,2026-06-29,1.3058640279884587e-05,0
SITE0105,2026-06-29,8.420218454911957e-06,0
SITE0104,2026-06-29,1.8475064229731988e-05,0
SITE0103,2026-06-29,5.2063106156864665e-06,0
SITE0102,2026-06-29,9.321066359011782e-06,0
SITE0101,2026-06-29,9.845147089790875e-06,0
SITE0100,2026-06-29,1.3066105351524444e-05,0
SITE0099,2026-06-29,8.706727443373174e-06,0
SITE0098,2026-06-29,4.062691475530133e-05,0
SITE0097,2026-06-29,6.754267856208057e-06,0
SITE0096,2026-06-29,1.0930482410304658e-05,0
SITE0095,2026-06-29,9.41329149247952e-06,0
SITE0093,2026-06-29,9.009305802721629e-06,0
SITE0150,2026-06-29,1.2745954011662169e-05,0
